


2025-03-07,Loblaws,37.44,Groceries,Other,1,PCF MC
2025-03-07,Wolf Down,54.55,Supper,Food,1,CIBC MC
2025-03-07,Walmart,5.75,Drinks,Other,1,Cash
2025-03-08,Rogers,73.44,Internet Bill,Other,2,Debit
2025-03-08,Koodo,254.65,"Cell Phones (-6, owe S $6)",Other,2,CIBC MC
2025-03-09,Sobeys,25.48,Spencer Groceries + Joliet Treat,Other,2,PCF MC
2025-03-09,ESSO,60.86,Gas - Van,Gas,2,PCF MC
2025-03-09,Splittsville,107.25,Bowling,Other,2,CIBC MC
2025-03-10,City of Ottawa,2612.41,Property Taxes (Interim Bill),Other,2,Debit
2025-03-11,Amazon.ca,73.44,Memory,Other,2,PCF MC
2025-03-11,Splittsville,26.73,Pop,Food,2,PCF MC
2025-03-11,Pizza Pizza,75.43,Supper,Food,2,PCF MC
2025-03-13,Marshall's,141.17,A Bras&Underwear; Towels; M. Cover,Other,2,CIBC MC
2025-03-13,La Vie En Rose,35.54,Melissa Bra,Other,2,CIBC MC
2025-03-13,Costco,422.88,Groceries; Movie Tix; P. Towel,Other,2,CIBC MC
2025-03-13,New Balance,118.64,Melissa Running Shoes,Other,2,CIBC MC
2025-03-13,Just Cozy,79.1,Leggings (2); Mittens (4); Hat,Other,2,CIBC MC
2025-03-13,ALDO,20.13,Shoe Wipes; Earrings,Other,2,CIBC MC
2025-03-13,Chick-Fil-A,75.36,Lunch,Food,2,CIBC MC
2025-03-15,Vannes Nail Bar,61.02,Amara & Courtney Nails,Other,3,Debit
2025-03-15,Vannes Nail Bar,10,Tip,Other,3,Cash
2025-03-15,WCSOPA,300.03,Joliet Comp Team 9,Other,3,Cheque
2025-03-15,HSMP,16.89,Alarm System Monitoring,Other,3,PCF MC
2025-03-15,St. Michael Parish,10,Offertory,Other,3,CIBC MC
2025-03-16,Loblaws,75.16,S & Us Groceries,Other,3,CIBC MC
2025-03-16,Canadian Tire,11.96,Closet Part (2),Other,3,CIBC MC
2025-03-17,Carp Chiro,28.5,Adjustments (285),Other,3,CIBC MC
2025-03-18,Shell,73.44,Gas - Van,Gas,3,PCF MC
2025-03-18,MG Hair Salon,80,Melissa Facial,Other,3,Cash
2025-03-19,Bobbi Coady,80,Amara Tutoring,Other,3,Debit
